case_id,red_speed,red_tr,red_br,blue_tr,blue_br,red_total,blue_total,diff,winner,red_transfer,red_tower,red_mustika,blue_transfer,blue_tower,blue_mustika,red_sanctuary_at,blue_sanctuary_at,red_mustika_at,blue_mustika_at,mustika_owner,red_complete_towers,blue_complete_towers,red_delivered_earth,red_delivered_sky,blue_delivered_earth,blue_delivered_sky
186,1/2,BR要求に追従,スカイ反転圧力,Earth先行補給,L2高得点寄せ,90,510,-420,blue,20,70,0,50,210,250,,137.8,,178,blue,1,2,3,1,7,3
187,1/2,BR要求に追従,スカイ反転圧力,Earth先行補給,共有エリア先取り,110,345,-235,blue,20,90,0,45,50,250,168.8,116.2,,159.4,blue,2,0,3,1,6,3
188,1/2,BR要求に追従,スカイ反転圧力,Earth先行補給,スカイ反転圧力,90,440,-350,blue,20,70,0,50,140,250,,131.8,,175.8,blue,1,2,3,1,7,3
189,1/2,BR要求に追従,スカイ反転圧力,Sky先置き準備,L1最速サンクチュアリ,90,430,-340,blue,20,70,0,40,140,250,,133.2,,177.2,blue,1,2,3,1,5,3
190,1/2,BR要求に追従,スカイ反転圧力,Sky先置き準備,L2高得点寄せ,90,250,-160,blue,20,70,0,40,210,0,,143,,,,1,2,3,1,5,3
191,1/2,BR要求に追従,スカイ反転圧力,Sky先置き準備,共有エリア先取り,105,360,-255,blue,15,90,0,40,70,250,163.2,110.6,,153.8,blue,2,0,3,0,5,3
192,1/2,BR要求に追従,スカイ反転圧力,Sky先置き準備,スカイ反転圧力,90,430,-340,blue,20,70,0,40,140,250,,133.2,,177.2,blue,1,2,3,1,5,3
193,1/2,Earth先行補給,L1最速サンクチュアリ,BR要求に追従,L1最速サンクチュアリ,105,180,-75,blue,35,70,0,40,140,0,,141.4,,,,1,2,5,2,5,3
194,1/2,Earth先行補給,L1最速サンクチュアリ,BR要求に追従,L2高得点寄せ,105,250,-145,blue,35,70,0,40,210,0,,150.2,,,,1,2,5,2,5,3
195,1/2,Earth先行補給,L1最速サンクチュアリ,BR要求に追従,共有エリア先取り,100,355,-255,blue,30,70,0,35,70,250,,118.8,,162,blue,1,1,5,1,4,3
